date,time,temp,humid,windspd
22/1/2010,20,27.50,56.00,9.30
22/1/2010,21,26.50,58.00,9.25
22/1/2010,22,27.00,58.00,9.30
22/1/2010,23,26.00,54.00,9.30
22/1/2010,24,24.33,57.67,6.80
23/1/2010,1,25.00,55.50,0.00
23/1/2010,2,25.00,54.00,0.00
23/1/2010,3,21.50,71.00,2.80
23/1/2010,4,23.00,63.00,0.00
23/1/2010,5,23.00,63.00,0.00
23/1/2010,6,20.67,66.00,2.47
23/1/2010,7,22.00,64.00,0.00
23/1/2010,8,22.00,58.50,3.70
23/1/2010,9,21.50,56.50,0.00
23/1/2010,10,26.00,42.00,5.60
23/1/2010,11,27.50,39.50,4.65
23/1/2010,12,29.50,29.00,2.80
23/1/2010,13,31.00,24.50,11.15
23/1/2010,14,31.00,24.00,9.30
23/1/2010,15,31.33,28.33,11.10
23/1/2010,16,30.00,37.50,19.45
23/1/2010,17,29.50,34.00,15.75
23/1/2010,18,29.00,31.33,11.73
23/1/2010,19,27.50,49.50,13.90
23/1/2010,20,27.00,54.50,8.35
23/1/2010,21,26.00,65.00,7.40
23/1/2010,22,26.00,74.00,9.30
23/1/2010,23,25.50,74.00,8.35
23/1/2010,24,24.00,74.50,3.70
24/1/2010,1,25.00,69.00,3.70
24/1/2010,2,24.00,63.00,0.00
24/1/2010,3,22.67,76.67,0.00
24/1/2010,4,24.00,73.00,6.50
24/1/2010,5,23.00,78.00,5.60
24/1/2010,6,22.67,77.33,3.73
24/1/2010,7,23.00,83.00,7.45
24/1/2010,8,21.00,78.00,9.30
24/1/2010,9,21.67,68.33,4.97
24/1/2010,10,24.50,55.50,0.00
24/1/2010,11,25.00,47.00,9.30
24/1/2010,12,28.33,36.67,6.20
24/1/2010,13,29.50,34.00,10.20
24/1/2010,14,30.50,27.00,12.05
24/1/2010,15,29.67,39.33,15.47
24/1/2010,16,30.00,42.50,15.75
24/1/2010,17,29.50,43.50,14.80
24/1/2010,18,28.33,46.33,12.97
24/1/2010,19,27.50,52.50,12.05
24/1/2010,20,26.50,51.00,10.20
24/1/2010,21,25.67,53.00,8.67
24/1/2010,22,26.00,59.00,10.20
24/1/2010,23,26.00,52.50,7.40
24/1/2010,24,23.67,52.33,4.33
25/1/2010,1,24.50,50.00,2.80
25/1/2010,2,23.00,61.00,5.60
25/1/2010,3,21.00,70.50,0.00
25/1/2010,4,23.00,61.00,3.70
25/1/2010,5,22.00,62.00,2.80
25/1/2010,6,20.33,66.67,2.47
25/1/2010,7,22.00,57.00,7.40
25/1/2010,8,23.50,47.00,10.20
25/1/2010,9,22.33,52.00,4.97
25/1/2010,10,27.00,34.00,11.10
25/1/2010,11,27.50,32.00,13.00
25/1/2010,12,29.33,28.33,8.67
25/1/2010,13,30.50,28.00,9.25
25/1/2010,14,31.50,26.50,9.30
25/1/2010,15,30.67,37.33,16.03
25/1/2010,16,30.00,41.50,14.80
25/1/2010,17,29.50,41.50,13.90
25/1/2010,18,29.00,37.33,11.13
25/1/2010,19,29.00,45.00,9.30
25/1/2010,20,27.00,56.00,8.35
25/1/2010,21,26.33,56.00,6.20
25/1/2010,22,27.00,42.00,5.60
25/1/2010,23,26.50,39.00,5.60
25/1/2010,24,24.00,49.67,0.00
26/1/2010,1,24.00,57.00,0.00
26/1/2010,2,23.50,53.00,3.70
26/1/2010,3,21.67,58.67,2.47
26/1/2010,4,24.00,44.00,6.50
26/1/2010,5,24.50,37.00,9.25
26/1/2010,6,23.00,38.00,5.55
26/1/2010,7,25.00,35.00,12.05
26/1/2010,8,25.00,32.00,12.05
26/1/2010,9,25.00,30.33,6.83
26/1/2010,10,27.00,31.00,8.35
26/1/2010,11,29.00,29.00,11.15
26/1/2010,12,30.67,26.00,13.60
26/1/2010,13,31.00,28.00,13.00
26/1/2010,14,32.50,24.50,12.05
26/1/2010,15,33.50,20.50,9.25
26/1/2010,16,32.50,23.50,12.95
26/1/2010,17,32.00,24.00,14.80
26/1/2010,18,30.67,27.33,9.27
26/1/2010,19,29.50,42.50,11.10
26/1/2010,20,28.00,45.00,8.35
26/1/2010,21,27.67,41.00,9.87
26/1/2010,22,27.00,43.50,5.60
26/1/2010,23,26.00,44.00,9.30
26/1/2010,24,25.33,44.00,3.10
27/1/2010,1,26.50,41.50,0.00
27/1/2010,2,25.00,48.50,0.00
27/1/2010,3,22.50,57.50,0.00
27/1/2010,4,24.00,50.00,3.70
27/1/2010,5,23.50,48.50,6.50
27/1/2010,6,20.00,55.00,0.00
27/1/2010,7,24.00,41.00,5.60
27/1/2010,8,24.50,42.50,6.50
27/1/2010,9,25.00,37.67,7.43
27/1/2010,10,26.50,38.00,7.45
27/1/2010,11,27.50,34.50,13.00
27/1/2010,12,29.00,31.00,10.53
27/1/2010,13,32.00,26.00,16.70
27/1/2010,14,33.00,28.00,18.50
27/1/2010,15,29.00,38.00,15.75
27/1/2010,16,30.00,35.00,14.85
27/1/2010,17,30.00,34.00,13.00
27/1/2010,18,29.67,32.67,10.50
27/1/2010,19,29.00,38.50,9.25
27/1/2010,20,28.00,39.00,11.15
27/1/2010,21,27.33,40.67,11.13
27/1/2010,22,27.50,38.50,12.05
27/1/2010,23,28.00,35.00,9.30
27/1/2010,24,26.00,43.00,11.15
28/1/2010,1,26.00,43.00,2.80
28/1/2010,2,24.50,50.00,10.20
28/1/2010,3,23.33,49.00,7.43
28/1/2010,4,23.50,50.00,8.35
28/1/2010,5,24.00,47.00,7.40
28/1/2010,6,23.00,50.00,3.70
28/1/2010,7,23.00,53.00,8.35
28/1/2010,8,23.00,51.50,10.20
28/1/2010,9,23.33,46.33,4.33
28/1/2010,10,0.0,0.0,0.0
28/1/2010,11,28.50,32.50,6.50
28/1/2010,12,29.67,24.67,9.27
28/1/2010,13,31.00,25.00,7.45
28/1/2010,14,32.00,22.00,9.30
